metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg %ident	# proteins	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	1	-10	93.75	1	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Serine hydroxymethyltransferase (EC 2.1.2.1)	14	-4.85714	81.2864	13	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	3	-1.33333	83.57	3	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Thiaminase II (EC 3.5.99.2)	2	0.5	70.19	2	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Thiamine-monophosphate kinase (EC 2.7.4.16)	4	-5.75	85.015	4	
4441682.3	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate and pterines	5-FCL-like protein	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	2	-1.5	82.5	2	
4441682.3	Membrane Transport	ABC transporters	ABC transporter alkylphosphonate (TC 3.A.1.9.1)	Phosphonate ABC transporter permease protein phnE2 (TC 3.A.1.9.1)	1	3	100	1	
4441682.3	Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)	2	1.5	77.98	2	
4441682.3	Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	11	-3.6	82.561	9	
4441682.3	Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	5	-4.8	79.66	5	
4441682.3	Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	7	-1.14286	73.3314	6	
4441682.3	Membrane Transport	ABC transporters	ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	6	0.833333	80.1383	6	
4441682.3	Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	6	-0.666667	77.4217	6	
4441682.3	Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)	Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	7	-2.71429	78.0671	5	
4441682.3	Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)	Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	3	-6.33333	85.5233	3	
4441682.3	Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	3	2.66667	86.54	3	
4441682.3	Membrane Transport	ABC transporters	ABC transporter dipeptide (TC 3.A.1.5.2)	Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	6	-5.16667	72.3833	6	
4441682.3	Iron acquisition and metabolism	ABC transporter [iron.B12.siderophore.hemin]	-	ABC transporter (iron.B12.siderophore.hemin) , periplasmic substrate-binding component	1	-5	76.67	1	
4441682.3	Iron acquisition and metabolism	ABC transporter [iron.B12.siderophore.hemin]	-	ABC transporter (iron.B12.siderophore.hemin) , permease component	2	2.5	80.045	2	
4441682.3	Membrane Transport	ABC transporters	ABC transporter of unknown substrate X	Putative ABC transporter of substrate X, ATP-binding subunit	1	-7	65.62	1	
4441682.3	Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	15	-1.73333	75.3447	12	
4441682.3	Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)	Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	18	-5.47059	77.8741	10	
4441682.3	Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	10	-4.77778	81.5033	8	
4441682.3	Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	8	-1.875	68.3363	8	
4441682.3	Membrane Transport	ABC transporters	ABC transporter oligopeptide (TC 3.A.1.5.1)	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	4	-0.75	75.585	4	
4441682.3	Membrane Transport	ABC transporters	ABC transporter tungstate (TC 3.A.1.6.2)	ABC-type tungstate transport system, ATP-binding protein	1	-1	59.26	1	
4441682.3	Membrane Transport	ABC transporters	ABC transporter tungstate (TC 3.A.1.6.2)	ABC-type tungstate transport system, periplasmic binding protein	2	-8	78.04	1	
4441682.3	Membrane Transport	ABC transporters	ABC transporter tungstate (TC 3.A.1.6.2)	ABC-type tungstate transport system, permease protein	2	-2.5	83.485	2	
4441682.3	Carbohydrates	Fermentation	Acetoin, butanediol metabolism	2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)	1	-6	75	1	
4441682.3	Carbohydrates	Fermentation	Acetoin, butanediol metabolism	Acetoin dehydrogenase E1 component beta-subunit (EC 1.2.4.-)	1	-1	75	1	
4441682.3	Carbohydrates	Fermentation	Acetoin, butanediol metabolism	Acetolactate synthase large subunit (EC 2.2.1.6)	13	-5.07692	77.8485	10	
4441682.3	Carbohydrates	Fermentation	Acetoin, butanediol metabolism	Acetolactate synthase small subunit (EC 2.2.1.6)	2	-3.5	84.12	2	
4441682.3	Carbohydrates	Fermentation	Acetoin, butanediol metabolism	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	1	-1	68.42	1	
4441682.3	Carbohydrates	Fermentation	Acetoin, butanediol metabolism	Dihydrolipoamide acetyltransferase component (E2) of acetoin dehydrogenase complex (EC 2.3.1.-)	3	0.5	73.345	2	
4441682.3	Carbohydrates	Fermentation	Acetoin, butanediol metabolism	Transcriptional activator of acetoin dehydrogenase operon AcoR	1	3	91.67	1	
4441682.3	Carbohydrates	Fermentation	Acetone Butanol Ethanol Synthesis	3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	3	-6.66667	79.6933	3	
4441682.3	Carbohydrates	Fermentation	Acetone Butanol Ethanol Synthesis	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	2	-4.5	77.945	2	
4441682.3	Carbohydrates	Fermentation	Acetone Butanol Ethanol Synthesis	Acetaldehyde dehydrogenase (EC 1.2.1.10)	4	-7.75	85.6925	4	
4441682.3	Carbohydrates	Fermentation	Acetone Butanol Ethanol Synthesis	Acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8)	1	3	84.62	1	
4441682.3	Carbohydrates	Fermentation	Acetone Butanol Ethanol Synthesis	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	9	-1	80.9638	8	
4441682.3	Carbohydrates	Fermentation	Acetone Butanol Ethanol Synthesis	Alcohol dehydrogenase (EC 1.1.1.1)	10	-3.7	79.889	9	
4441682.3	Carbohydrates	Fermentation	Acetone Butanol Ethanol Synthesis	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	10	-4.1	85.971	9	
4441682.3	Carbohydrates	Fermentation	Acetone Butanol Ethanol Synthesis	Electron transfer flavoprotein, alpha subunit	4	-3	73.825	4	
4441682.3	Carbohydrates	Fermentation	Acetone Butanol Ethanol Synthesis	Electron transfer flavoprotein, beta subunit	8	-0.25	75.3075	8	
4441682.3	Carbohydrates	Fermentation	Acetone Butanol Ethanol Synthesis	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)	3	-2.33333	83.49	3	
4441682.3	Carbohydrates	Fermentation	Acetone Butanol Ethanol Synthesis	NADH-dependent butanol dehydrogenase (EC 1.1.1.-)	1	-8	71.43	1	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	6	0.666667	77.975	6	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	3	-6.66667	79.6933	3	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	2	-4.5	77.945	2	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)	2	3	73.61	2	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	Acetoacetyl-CoA reductase (EC 1.1.1.36)	1	3	100	1	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	Acetyl-CoA:acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8)	1	3	84.62	1	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	9	-1	80.9638	8	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	Butyrate-acetoacetate CoA-transferase subunit A (EC 2.8.3.9)	1	-7	76.47	1	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	Butyrate-acetoacetate CoA-transferase subunit B (EC 2.8.3.9)	1	-8	90.32	1	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	Butyrate kinase (EC 2.7.2.7)	11	-3.63636	77.9945	11	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	10	-4.1	85.971	9	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	Electron transfer flavoprotein, alpha subunit	4	-3	73.825	4	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	Electron transfer flavoprotein, beta subunit	8	-0.25	75.3075	8	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	Enoyl-CoA hydratase (EC 4.2.1.17)	7	2.71429	79.3329	7	
4441682.3	Carbohydrates	Fermentation	Acetyl-CoA fermentation to Butyrate	Phosphate butyryltransferase (EC 2.3.1.19)	1	-2	63.33	1	
4441682.3	Stress Response	Acid stress	Acid resistance mechanisms	Arginine decarboxylase (EC 4.1.1.19)	1	-3	74.07	1	
4441682.3	Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Adaptation to d-cysteine	Cystine ABC transporter, ATP-binding protein	1	-6	92.86	1	
4441682.3	Nucleosides and Nucleotides	Adenosyl nucleosidases	-	5&#39;-methylthioadenosine nucleosidase (EC 3.2.2.16)	3	-1	76.9867	3	
4441682.3	Nucleosides and Nucleotides	Adenosyl nucleosidases	-	Purine nucleoside phosphorylase (EC 2.4.2.1)	8	-2.125	74.785	8	
4441682.3	Nucleosides and Nucleotides	Adenosyl nucleosidases	-	S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)	3	-1	76.9867	3	
4441682.3	Virulence, Disease and Defense	Adhesion	Adhesins in Staphylococcus	Accumulation-associated protein AAP	1	-6	60	1	
4441682.3	Virulence, Disease and Defense	Adhesion	Adhesins in Staphylococcus	Collagen binding protein Cna	2	0	66.07	2	
4441682.3	Virulence, Disease and Defense	Adhesion	Adhesion of Campylobacter	Fibronectin/fibrinogen-binding protein	6	0.666667	73.17	6	
4441682.3	Virulence, Disease and Defense	Adhesion	Adhesion of Campylobacter	Putative fibronectin domain-containing lipoprotein	1	3	100	1	
4441682.3	Clustering-based subsystems	Aerotolerance operon in Bacteroides and potentially orthologous operons in other organisms	-	BatA (Bacteroides aerotolerance operon)	1	-4	78.57	1	
4441682.3	Clustering-based subsystems	Aerotolerance operon in Bacteroides and potentially orthologous operons in other organisms	-	BatD	2	2	84.21	2	
4441682.3	Clustering-based subsystems	Aerotolerance operon in Bacteroides and potentially orthologous operons in other organisms	-	BatE	2	-1	72.5	2	
4441682.3	Clustering-based subsystems	Aerotolerance operon in Bacteroides and potentially orthologous operons in other organisms	-	hypothetical protein PA3071	1	-10	83.78	1	
4441682.3	Clustering-based subsystems	Aerotolerance operon in Bacteroides and potentially orthologous operons in other organisms	-	MoxR-like ATPase in aerotolerance operon	4	-6	74.96	4	
4441682.3	Clustering-based subsystems	Aerotolerance operon in Bacteroides and potentially orthologous operons in other organisms	-	TPR domain protein in aerotolerance operon	2	2.5	90	2	
4441682.3	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	9	-2.55556	72.1767	8	
4441682.3	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Glutamyl-tRNA reductase (EC 1.2.1.70)	4	0	69.7325	4	
4441682.3	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Outer membrane lipoprotein LolB precursor	1	3	100	1	
4441682.3	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Peptide chain release factor 1	11	-5.18182	83.4509	11	
4441682.3	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2	6	-0.666667	78.3033	6	
4441682.3	Clustering-based subsystems	Ribosome-related cluster	A Gammaproteobacteria Cluster Relating to Translation	Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	9	-4	85.3611	9	
4441682.3	Clustering-based subsystems	Lysine Biosynthesis	A Glutathione-dependent Thiol Reductase Associated with a Step in Lysine Biosynthesis	N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)	1	3	80	1	
4441682.3	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins	A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins	ATP-dependent DNA helicase RecG (EC 3.6.1.-)	11	-2.36364	69.7318	11	
4441682.3	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins	A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins	Dihydroxyacetone kinase family protein	10	-3.8	75.166	9	
4441682.3	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins	A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins	LSU ribosomal protein L28p	1	-4	64.52	1	
4441682.3	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins	A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins	Ribosome small subunit-stimulated GTPase EngC	3	-3	70.5533	3	
4441682.3	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins	A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	9	-3.33333	84.4722	8	
4441682.3	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins	A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins	Serine/threonine protein kinase PrkC, regulator of stationary phase	6	-1.83333	78.475	6	
4441682.3	Clustering-based subsystems	Ribosomal Protein L28P relates to a set of uncharacterized proteins	A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins	Thiamin pyrophosphokinase (EC 2.7.6.2)	1	3	100	1	
4441682.3	Membrane Transport	Agrobacterium opine transport	-	Mannopinic acid transporter permease protein MoaC	1	2	80	1	
4441682.3	Amino Acids and Derivatives	Proline and 4-hydroxyproline	A Hypothetical Protein Related to Proline Metabolism	Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC	5	-0.4	80.352	5	
4441682.3	Amino Acids and Derivatives	Proline and 4-hydroxyproline	A Hypothetical Protein Related to Proline Metabolism	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	4	-0.5	77.6975	4	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Alanine racemase (EC 5.1.1.1)	9	-0.875	68.7787	8	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	8	-6	79.595	7	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Chaperone protein HscA	1	-9	100	1	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase CsdA-CsdE (EC 2.8.1.7), main protein CsdA	2	0.5	73.215	2	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7)	27	-2.37037	73.7626	25	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	1	-3	87.5	1	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), NifS subfamily	2	-2.5	71.215	2	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	4	-3	78.88	4	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron-sulfur cluster assembly scaffold protein IscU	1	-4	71.43	1	
4441682.3	Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine biosynthesis	Iron-sulfur cluster regulator IscR	3	0.333333	77.6333	3	
4441682.3	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Alginate metabolism	Mannose-1-phosphate guanylyltransferase (GDP) (EC 2.7.7.22)	4	1.25	74.045	4	
4441682.3	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Alginate metabolism	Mannose-6-phosphate isomerase (EC 5.3.1.8)	9	-3.55556	77.9011	8	
4441682.3	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Alginate metabolism	Phosphomannomutase (EC 5.4.2.8)	9	-1.66667	79.7411	9	
4441682.3	Cell Wall and Capsule	Capsular and extracellular polysacchrides	Alginate metabolism	Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)	15	-3.8	78.6113	14	
4441682.3	Secondary Metabolism	Plant Alkaloids	Alkaloid biosynthesis from L-lysine	Deoxyhypusine synthase	2	-6.5	81.475	1	
4441682.3	Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonate assimilation	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component	1	-9	81.82	1	
4441682.3	Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonate assimilation	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	1	0	65.38	1	
4441682.3	Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonate assimilation	ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components	2	2	94.12	2	
4441682.3	Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonate assimilation	Alkanesulfonates ABC transporter ATP-binding protein	4	-4.75	66.2725	4	
4441682.3	Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonate assimilation	Alkanesulfonates-binding protein	4	3	82.31	4	
4441682.3	Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonate assimilation	Arylsulfatase (EC 3.1.6.1)	1	3	68.42	1	
4441682.3	Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonates Utilization	Alkanesulfonates ABC transporter ATP-binding protein	4	-4.75	66.2725	4	
4441682.3	Sulfur Metabolism	Organic sulfur assimilation	Alkanesulfonates Utilization	Alkanesulfonates-binding protein	4	3	82.31	4	
4441682.3	Phosphorus Metabolism	Alkylphosphonate utilization	-	Metal-dependent hydrolase involved in phosphonate metabolism	1	3	100	1	
4441682.3	Phosphorus Metabolism	Alkylphosphonate utilization	-	Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein	3	-2.33333	69.1267	3	
4441682.3	Phosphorus Metabolism	Alkylphosphonate utilization	-	Phosphonates transport ATP-binding protein PhnL	1	1	65.22	1	
4441682.3	Nitrogen Metabolism	Allantoin Utilization	-	Allantoate amidohydrolase (EC 3.5.3.9)	1	3	80	1	
4441682.3	Nitrogen Metabolism	Allantoin Utilization	-	Glycerate kinase (EC 2.7.1.31)	3	0.333333	73.7933	3	
4441682.3	Nitrogen Metabolism	Allantoin Utilization	-	Glyoxylate carboligase (EC 4.1.1.47)	1	3	84.62	1	
4441682.3	Clustering-based subsystems	Allophanate hydrolase 2 and Biotin carboxylase cluster	-	Allophanate hydrolase 2 subunit 2 (EC 3.5.1.54)	1	2	72.22	1	
4441682.3	Clustering-based subsystems	Allophanate hydrolase 2 and Biotin carboxylase cluster	-	Biotin carboxyl carrier protein	2	-6.5	83.175	2	
4441682.3	Clustering-based subsystems	Allophanate hydrolase 2 and Biotin carboxylase cluster	-	Lactam utilization protein LamB	1	2	68.42	1	
4441682.3	Carbohydrates	Organic acids	Alpha-acetolactate operon	Alpha-acetolactate decarboxylase (EC 4.1.1.5)	1	-1	68.42	1	
4441682.3	Carbohydrates	Polysaccharides	Alpha-Amylase locus in Streptocococcus	Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE	1	2	84.62	1	
