Feature ID	score	A	B	T	idQM	idQA	idQB	idAB	idQT	LY	LN	LA	RY	RN	RA	div	YN
705844;size=45	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
248716;size=44	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
250289;size=44	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2984686;size=44	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
160457;size=43	0.0568	1105706;size=190	4458222;size=114	4458222;size=114	86.9	78.9	85.7	76.8	85.7	13	10	6	23	4	11	1.3	N
1044436;size=41	0.0267	625385;size=113	4458222;size=114	4458222;size=114	86.0	81.8	85.2	83.5	85.2	2	0	2	21	11	20	0.8	N
220997;size=40	0.0361	1105706;size=190	1066562;size=85	1066562;size=85	84.2	77.3	83.8	85.8	83.8	4	3	7	18	1	28	0.4	N
1112891;size=39	0.0252	329628;size=91	2645712;size=143	2645712;size=143	80.6	77.3	79.8	76.9	79.8	2	0	0	25	17	30	0.8	N
248032;size=39	0.0236	329628;size=91	4458222;size=114	329628;size=91	78.5	75.9	75.9	76.8	75.9	15	9	21	11	5	16	2.5	N
832287;size=39	0.0364	1066562;size=85	587313;size=118	587313;size=118	87.8	84.8	85.7	84.8	85.7	8	3	5	11	4	17	2.1	N
4474039;size=38	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
659067;size=38	0.0085	2834455;size=266	4379915;size=181	4379915;size=181	74.0	71.9	73.6	90.1	73.6	1	0	0	11	6	57	0.4	N
1106524;size=36	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
213804;size=36	0.028	222564;size=75	1066562;size=85	1066562;size=85	86.3	84.3	85.1	80.6	85.1	4	1	0	21	16	17	1.2	N
256656;size=36	0.0291	222564;size=75	2645712;size=143	222564;size=75	77.5	76.3	76.3	76.3	76.3	21	18	38	3	0	0	1.2	N
4459956;size=36	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
579647;size=36	0.0372	236255;size=185	1066562;size=85	236255;size=185	81.5	79.9	78.3	77.1	79.9	23	15	30	5	1	0	1.6	N
2147800;size=35	0.0232	4379915;size=181	4409533;size=206	4409533;size=206	90.8	88.7	90.0	93.3	90.0	2	0	2	8	3	17	0.8	N
226718;size=35	0.0866	1066562;size=85	2645712;size=143	1066562;size=85	85.4	81.8	79.4	82.2	81.8	18	3	10	12	3	20	3.6	N
684111;size=35	0.1874	587313;size=118	625385;size=113	625385;size=113	94.1	80.9	92.4	80.1	92.4	4	0	2	36	5	7	1.7	N
1144696;size=34	0.0244	625385;size=113	2645712;size=143	2645712;size=143	82.1	80.1	81.7	79.3	81.7	15	14	23	6	1	6	0.4	N
4363325;size=34	0.0214	830917;size=190	654524;size=72	654524;size=72	81.4	74.2	80.9	86.0	80.9	1	0	2	19	2	40	0.4	N
821510;size=34	0.0263	625385;size=113	222564;size=75	222564;size=75	87.9	81.5	87.5	83.5	87.5	3	2	1	25	9	18	0.4	N
933902;size=34	0.0362	4308710;size=73	205839;size=116	4308710;size=73	75.2	74.8	73.5	73.9	74.8	4	0	0	22	21	38	0.4	N
2216436;size=33	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
612770;size=33	0.0301	1105706;size=190	1066562;size=85	1105706;size=190	86.6	85.0	85.0	85.8	85.0	5	1	2	16	12	18	1.6	N
155243;size=32	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
557983;size=32	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
1109016;size=31	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2261663;size=31	0.0309	2645712;size=143	625385;size=113	625385;size=113	84.1	82.5	82.9	79.3	82.9	3	0	1	22	18	20	1.2	N
1109646;size=30	0.0328	954745;size=82	236255;size=185	954745;size=82	94.2	93.0	92.6	93.4	93.0	5	1	2	6	3	8	1.2	N
1113187;size=30	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
277604;size=30	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4409534;size=29	0.026	4379915;size=181	4409533;size=206	4409533;size=206	87.0	85.3	85.7	93.3	85.7	3	0	2	7	3	26	1.3	N
841927;size=29	0.0394	4409533;size=206	2834455;size=266	2834455;size=266	94.4	91.4	94.0	92.3	94.0	5	4	7	8	1	1	0.4	N
220381;size=28	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2957830;size=28	0.0755	587313;size=118	2645712;size=143	587313;size=118	87.2	85.5	81.3	81.3	85.5	25	11	19	4	0	0	1.7	N
826242;size=28	0.03	588387;size=63	1066562;size=85	1066562;size=85	89.7	82.3	89.2	84.1	89.2	2	1	0	24	7	16	0.4	N
151729;size=27	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2216508;size=27	0.0433	588387;size=63	2645712;size=143	588387;size=63	85.4	83.8	79.2	73.3	83.8	21	6	7	16	12	10	1.7	N
326101;size=27	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
593863;size=27	0.0526	4458222;size=114	587313;size=118	587313;size=118	78.4	73.3	76.3	81.9	76.3	12	7	31	13	1	11	2.2	N
152039;size=26	0.0059	329628;size=91	4308710;size=73	329628;size=91	81.4	80.5	80.1	96.6	80.5	4	1	19	2	0	24	0.8	N
156895;size=26	0.033	625385;size=113	4308710;size=73	4308710;size=73	87.9	77.5	87.4	81.0	87.4	1	0	0	30	6	22	0.4	N
226697;size=26	0.2198	587313;size=118	625385;size=113	625385;size=113	94.0	80.9	92.3	80.0	92.3	4	0	1	35	4	9	1.7	N
3541724;size=26	0.0525	654524;size=72	830917;size=190	654524;size=72	89.4	86.4	86.0	85.6	86.4	14	6	9	9	2	8	3.0	N
4370064;size=26	0.222	1066562;size=85	625385;size=113	625385;size=113	97.0	83.1	96.2	83.1	96.2	2	0	2	34	1	4	0.8	N
4408088;size=26	0.0411	4458222;size=114	2645712;size=143	4458222;size=114	85.0	82.9	79.5	76.5	82.9	23	10	15	8	3	7	2.1	N
556931;size=26	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
238672;size=25	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4326623;size=25	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4476071;size=25	0.9698	587313;size=118	4308710;size=73	4308710;size=73	94.8	76.4	92.1	78.2	92.1	6	0	0	42	0	12	2.6	Y
855511;size=25	0.0382	329628;size=91	1066562;size=85	1066562;size=85	90.3	77.7	89.9	77.7	89.9	1	0	0	39	8	16	0.4	N
221964;size=24	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
236371;size=24	0.025	151071;size=55	849683;size=56	151071;size=55	95.4	95.0	90.8	88.7	95.0	16	5	6	1	0	0	0.4	N
4396491;size=24	0.016	329628;size=91	222564;size=75	222564;size=75	73.5	71.0	72.3	78.2	72.3	13	10	14	11	5	34	1.3	N
567134;size=24	0.0303	587313;size=118	2645712;size=143	587313;size=118	90.3	89.9	80.2	81.0	89.9	33	9	14	1	0	0	0.4	N
585110;size=24	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
818371;size=24	0.0578	236255;size=185	1066562;size=85	236255;size=185	81.5	79.4	79.0	77.4	79.4	21	15	31	5	0	0	2.0	N
855806;size=23	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
103861;size=22	0.0161	625385;size=113	810595;size=49	810595;size=49	79.7	74.4	79.3	81.3	79.3	2	1	4	21	8	37	0.4	N
207672;size=22	0.0337	2867531;size=52	1066562;size=85	1066562;size=85	84.0	76.6	83.2	76.6	83.2	3	1	1	30	12	25	0.8	N
216644;size=22	0.0495	587313;size=118	151071;size=55	587313;size=118	83.2	81.4	79.2	83.6	81.4	18	9	27	4	0	2	1.8	N
220798;size=22	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
238582;size=22	0.0344	654524;size=72	810952;size=48	654524;size=72	79.1	77.8	73.0	67.8	77.8	33	19	27	4	1	1	1.3	N
4336165;size=22	0.1755	2867531;size=52	236255;size=185	236255;size=185	90.1	73.1	88.8	76.4	88.8	3	0	0	46	5	19	1.2	N
547608;size=22	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
549009;size=22	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
830358;size=22	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
1113203;size=21	0.0424	160457;size=43	1142462;size=53	160457;size=43	85.6	84.0	79.8	77.4	84.0	19	5	12	14	10	8	1.6	N
2416609;size=21	0.1296	1066562;size=85	625385;size=113	625385;size=113	91.5	83.5	89.8	83.5	89.8	4	0	1	23	4	15	1.7	N
246248;size=21	0.0201	2867531;size=52	625385;size=113	625385;size=113	83.6	77.6	83.2	88.8	83.2	1	0	0	19	5	33	0.4	N
251133;size=21	0.0445	625385;size=113	4308710;size=73	625385;size=113	81.5	79.8	77.7	79.8	79.8	16	7	34	4	0	3	1.7	N
552989;size=21	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
802110;size=21	0.033	136106;size=69	4379915;size=181	4379915;size=181	75.5	69.8	74.3	73.9	74.3	3	0	4	30	16	40	1.2	N
812105;size=21	0.0876	810595;size=49	2645712;size=143	810595;size=49	86.1	84.0	82.7	80.2	84.0	8	0	1	17	12	20	2.1	N
985891;size=21	0.0422	654524;size=72	1066562;size=85	1066562;size=85	85.4	83.8	84.2	82.2	84.2	18	15	21	4	0	0	1.2	N
1109138;size=20	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
244008;size=20	0.0305	248716;size=44	1066562;size=85	1066562;size=85	74.4	70.7	72.4	82.9	72.4	14	9	28	9	0	26	2.0	N
253115;size=20	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
291692;size=20	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
311452;size=20	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
559274;size=20	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
723690;size=20	0.0498	2867531;size=52	625385;size=113	625385;size=113	93.2	84.4	92.8	89.0	92.8	1	0	0	23	2	14	0.4	N
951190;size=20	0.0496	329628;size=91	830917;size=190	830917;size=190	90.1	82.2	89.3	80.6	89.3	7	5	6	24	5	8	0.8	N
1143902;size=19	0.1279	329628;size=91	2645712;size=143	2645712;size=143	85.8	78.7	80.8	76.6	80.8	20	8	20	19	2	4	5.0	N
142319;size=19	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
215991;size=19	0.0464	220997;size=40	160457;size=43	220997;size=40	93.4	93.0	81.1	81.1	93.0	36	6	10	1	0	0	0.4	N
218936;size=19	0.019	236255;size=185	220101;size=174	236255;size=185	98.8	98.4	97.2	96.4	98.4	6	2	1	1	0	0	0.4	N
226552;size=19	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4402415;size=19	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4460365;size=19	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
549948;size=19	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
727764;size=19	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
844118;size=19	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
1113779;size=18	0.0321	1142462;size=53	625385;size=113	625385;size=113	81.7	76.8	80.5	79.7	80.5	4	1	3	23	11	30	1.2	N
12061;size=18	0.0415	2867531;size=52	2645712;size=143	2645712;size=143	80.0	74.3	77.1	75.1	77.1	12	5	15	22	8	21	2.9	N
210633;size=18	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
227831;size=18	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
249891;size=18	0.0487	1142462;size=53	160457;size=43	160457;size=43	83.1	79.9	81.5	77.1	81.5	21	17	20	9	1	4	1.6	N
253644;size=18	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
254514;size=18	0.0508	832287;size=39	4308710;size=73	4308710;size=73	85.9	77.8	85.5	82.1	85.5	7	6	11	21	2	14	0.4	N
254852;size=18	0.05	4320239;size=51	1066562;size=85	1066562;size=85	85.2	80.4	83.0	80.4	83.0	14	9	12	13	2	11	2.2	N
4308759;size=18	2.409	1044436;size=41	705844;size=45	1044436;size=41	98.8	93.4	81.1	75.7	93.4	44	1	2	13	0	0	5.3	Y
541715;size=18	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
575708;size=18	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
827408;size=18	0.0587	151071;size=55	810595;size=49	810595;size=49	84.5	79.0	81.9	82.4	81.9	8	2	5	18	5	25	2.5	N
835293;size=18	0.017	1066562;size=85	1044436;size=41	1066562;size=85	84.0	83.5	79.0	83.5	83.5	20	8	26	2	1	4	0.4	N
968085;size=18	0.0334	151071;size=55	832287;size=39	832287;size=39	78.6	76.1	76.5	81.5	76.5	6	1	3	15	9	38	2.1	N
1106528;size=17	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
1106691;size=17	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
222997;size=17	0.0465	4459956;size=36	2645712;size=143	4459956;size=36	86.6	82.5	82.5	76.8	82.5	19	9	8	17	7	9	4.1	N
237078;size=17	0.7102	1144696;size=34	226718;size=35	1144696;size=34	95.9	93.1	80.4	78.4	93.1	40	2	8	7	0	0	2.9	Y
253107;size=17	0.0477	832287;size=39	151071;size=55	151071;size=55	88.2	83.5	86.9	81.4	86.9	3	0	1	21	10	17	1.3	N
4382279;size=17	0.0842	329628;size=91	2645712;size=143	2645712;size=143	83.8	77.3	80.2	77.3	80.2	19	10	18	18	2	10	3.6	N
4425887;size=17	0.0181	4459956;size=36	684111;size=35	684111;size=35	90.8	87.4	90.4	93.7	90.4	1	0	0	11	3	19	0.4	N
694537;size=17	0.0529	832287;size=39	151071;size=55	832287;size=39	87.9	85.8	84.9	81.6	85.8	8	1	2	17	12	14	2.1	N
826783;size=17	0.0652	845926;size=125	4308710;size=73	845926;size=125	79.3	77.6	72.6	72.6	77.6	34	18	31	4	0	0	1.7	N
828934;size=17	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
834632;size=17	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
868710;size=17	0.0532	625385;size=113	2645712;size=143	2645712;size=143	83.9	77.8	81.9	79.4	81.9	13	8	16	18	3	13	2.0	N
908911;size=17	0.0483	2867531;size=52	625385;size=113	625385;size=113	94.3	85.3	93.9	88.2	93.9	1	0	0	25	3	11	0.4	N
909520;size=17	0.0797	151071;size=55	849683;size=56	151071;size=55	95.4	94.6	88.7	88.7	94.6	18	2	7	2	0	2	0.8	N
959903;size=17	3.6227	329628;size=91	248032;size=39	248032;size=39	99.6	81.3	95.1	76.8	95.1	11	0	0	45	0	1	4.5	Y
100463;size=16	0.031	4349212;size=48	654524;size=72	654524;size=72	77.3	73.5	74.4	75.2	74.4	15	8	17	13	4	25	2.9	N
1112108;size=16	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
113896;size=16	0.0494	4474039;size=38	4308710;size=73	4474039;size=38	92.4	91.9	81.8	80.1	91.9	30	5	12	2	1	0	0.4	N
153006;size=16	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
222501;size=16	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
223696;size=16	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2264930;size=16	0.0475	256656;size=36	625385;size=113	256656;size=36	90.7	90.2	74.4	73.2	90.2	48	8	15	1	0	0	0.4	N
254143;size=16	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
311991;size=16	0.0339	810952;size=48	1142462;size=53	810952;size=48	84.1	83.7	70.3	71.1	83.7	43	9	30	1	0	0	0.4	N
4437558;size=16	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
591157;size=16	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
714;size=16	0.0292	4379915;size=181	389053;size=58	389053;size=58	84.2	73.4	83.8	72.2	83.8	4	3	7	38	12	16	0.4	N
739481;size=16	0.0271	4409533;size=206	2834455;size=266	4409533;size=206	93.1	92.7	91.8	92.3	92.7	3	0	0	7	6	10	0.4	N
777142;size=16	0.0343	4320239;size=51	1044436;size=41	4320239;size=51	85.6	84.3	79.7	75.8	84.3	22	8	14	11	8	4	1.3	N
814666;size=16	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
821052;size=16	0.0162	4459956;size=36	625385;size=113	4459956;size=36	97.2	96.7	95.9	95.1	96.7	5	2	2	2	1	2	0.4	N
837041;size=16	0.0442	1112891;size=39	2645712;size=143	1112891;size=39	88.4	88.0	74.4	79.8	88.0	38	4	22	1	0	2	0.4	N
1105298;size=15	0.0103	1109016;size=31	220101;size=174	1109016;size=31	87.7	86.9	86.9	95.8	86.9	3	1	5	4	2	21	0.8	N
130029;size=15	0.0255	389053;size=58	136106;size=69	389053;size=58	83.0	81.4	80.2	90.3	81.4	9	2	21	7	3	16	1.6	N
1697001;size=15	0.2049	4459956;size=36	625385;size=113	4459956;size=36	99.6	98.0	96.7	95.1	98.0	7	0	1	4	0	0	1.6	N
217710;size=15	0.0676	684111;size=35	625385;size=113	625385;size=113	94.5	91.9	93.2	91.9	93.2	8	5	7	6	0	1	1.3	N
219743;size=15	0.0711	2650177;size=58	2645712;size=143	2645712;size=143	82.9	75.0	80.0	76.2	80.0	14	7	23	23	4	7	2.9	N
219781;size=15	0.0255	236255;size=185	4320239;size=51	236255;size=185	85.5	85.1	77.0	77.0	85.1	31	11	21	2	1	1	0.4	N
225131;size=15	0.0296	625385;size=113	4363325;size=34	4363325;size=34	81.6	78.2	78.6	73.1	78.6	16	9	6	18	10	18	3.0	N
225351;size=15	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
246169;size=15	0.103	2650177;size=58	1066562;size=85	1066562;size=85	83.3	72.8	81.6	76.6	81.6	4	0	2	31	6	32	1.7	N
3489142;size=15	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4304296;size=15	0.0415	151071;size=55	849683;size=56	151071;size=55	90.8	90.4	85.4	89.1	90.4	14	1	6	3	2	13	0.4	N
513237;size=15	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
539821;size=15	0.012	1109016;size=31	557983;size=32	1109016;size=31	80.4	80.0	76.5	91.3	80.0	13	4	39	1	0	2	0.4	N
571500;size=15	0.0772	329628;size=91	684111;size=35	684111;size=35	85.0	73.7	83.8	75.3	83.8	3	0	1	39	11	25	1.2	N
592443;size=15	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
638858;size=15	0.0377	810595;size=49	1044436;size=41	1044436;size=41	93.3	88.7	92.4	84.5	92.4	2	0	0	22	11	5	0.8	N
721323;size=15	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
817479;size=15	0.1407	151071;size=55	160457;size=43	151071;size=55	92.5	91.2	85.4	86.7	91.2	17	0	5	7	4	9	1.2	N
844576;size=15	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
999038;size=15	0.1124	557983;size=32	2261663;size=31	2261663;size=31	83.8	72.9	79.5	73.8	79.5	16	6	13	29	4	14	4.4	N
2063978;size=14	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
249741;size=14	0.1672	2261663;size=31	810595;size=49	2261663;size=31	96.4	94.3	86.6	83.0	94.3	29	5	3	6	1	0	2.0	N
284815;size=14	0.0547	625385;size=113	1044436;size=41	625385;size=113	91.7	91.3	79.8	81.8	91.3	32	3	17	1	0	0	0.4	N
320175;size=14	0.022	807707;size=82	151959;size=80	807707;size=82	97.9	97.0	97.0	97.9	97.0	2	0	5	2	0	0	0.8	N
3453009;size=14	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4349352;size=14	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4402182;size=14	0.0434	160457;size=43	4363325;size=34	4363325;size=34	84.5	78.4	83.2	78.4	83.2	13	10	14	18	4	8	1.3	N
4418170;size=14	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4465448;size=14	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
512156;size=14	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
768761;size=14	0.0158	2261663;size=31	248032;size=39	248032;size=39	81.2	78.0	80.8	75.9	80.8	3	2	0	27	19	25	0.4	N
830341;size=14	0.0281	160457;size=43	4363325;size=34	4363325;size=34	81.5	75.4	80.6	77.6	80.6	8	6	7	21	7	23	0.9	N
831767;size=14	0.0667	659067;size=38	4409533;size=206	659067;size=38	88.1	87.3	73.7	71.6	87.3	46	12	16	2	0	0	0.8	N
914697;size=14	0.0407	2650177;size=58	2645712;size=143	2645712;size=143	72.3	66.0	71.0	76.1	71.0	3	0	1	30	15	50	1.3	N
973283;size=14	0.0471	832287;size=39	821510;size=34	832287;size=39	84.1	82.4	81.2	82.8	82.4	20	13	24	4	0	1	1.7	N
99995;size=14	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
100320;size=13	0.1313	236255;size=185	954745;size=82	954745;size=82	99.2	95.9	97.5	93.4	97.5	4	0	0	10	2	0	1.7	N
1105389;size=13	0.0462	220997;size=40	556931;size=26	556931;size=26	85.4	81.8	82.2	78.5	82.2	20	12	13	12	3	8	3.2	N
1111790;size=13	0.0172	1109016;size=31	557983;size=32	1109016;size=31	85.7	85.2	81.3	92.6	85.2	12	2	30	1	0	1	0.4	N
151957;size=13	0.0425	151729;size=27	556931;size=26	151729;size=27	94.3	93.5	92.7	92.3	93.5	4	0	0	8	6	8	0.8	N
156044;size=13	0.0734	2261663;size=31	248032;size=39	248032;size=39	93.9	78.0	93.5	75.6	93.5	3	2	1	45	6	6	0.4	N
218538;size=13	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2714240;size=13	0.0381	832287;size=39	821510;size=34	832287;size=39	83.8	81.4	80.2	83.0	81.4	13	4	6	13	7	23	2.4	N
338969;size=13	0.0411	236255;size=185	2216508;size=27	236255;size=185	85.1	84.3	75.5	74.7	84.3	36	12	23	3	1	1	0.8	N
342766;size=13	0.0247	2957830;size=28	832287;size=39	832287;size=39	97.6	95.1	97.1	96.3	97.1	1	0	1	7	1	4	0.4	N
444679;size=13	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
543232;size=13	0.1639	152039;size=26	329628;size=91	152039;size=26	94.5	93.2	83.9	80.5	93.2	26	1	4	11	8	0	1.3	N
762396;size=13	0.023	684111;size=35	226697;size=26	226697;size=26	89.9	87.8	89.1	91.6	89.1	6	4	7	6	1	12	0.8	N
769731;size=13	0.0369	2261663;size=31	4370064;size=26	4370064;size=26	85.1	82.6	83.0	83.4	83.0	5	0	9	16	10	16	2.1	N
1108593;size=12	0.0367	1106524;size=36	810595;size=49	1106524;size=36	82.1	80.5	80.5	80.9	80.5	20	16	26	4	0	2	1.6	N
1146428;size=12	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
136139;size=12	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
